     61520        011    3499359    3808457
     61520        012    3808458    4121289
     61520        013    4121290    4445885
     61520        014    4445886    4753641
     61520        015    4753642    5202351
     61520        016    5202352    5611913
     61520        017    5611914    5689508
     61521        000          0     342159
     61521        001     342160     649357
     61521        002     649358     970235
     61521        003     970236    1290712
     61521        004    1290713    1597330
     61521        005    1597331    1905394
     61521        006    1905395    2213392
     61521        007    2213393    2553108
     61521        008    2553109    2861949
     61521        009    2861950    3169740
     61521        010    3169741    3537777
     61521        011    3537778    3848324
     61521        012    3848325    4171832
     61521        013    4171833    4485164
     61521        014    4485165    4798748
     61521        015    4798749    5126928
     61521        016    5126929    5441123
     61521        017    5441124    5757447
     61521        018    5757448    6072501
     61521        019    6072502    6387234
     61521        020    6387235    6714815
     61521        021    6714816    7042687
     61521        022    7042688    7376927
     61521        023    7376928    7720261
     61521        024    7720262    8034180
     61521        025    8034181    8349990
     61521        026    8349991    8665618
     61521        027    8665619    8981382
     61521        028    8981383    9296590
     61521        029    9296591    9612390
     61521        030    9612391    9928224
     61521        031    9928225   10243102
     61521        032   10243103   10570846
     61521        033   10570847   10886531
     61521        034   10886532   11212634
     61521        035   11212635   11557048
     61521        036   11557049   11881436
     61521        037   11881437   12236056
     61521        038   12236057   12563904
     61521        039   12563905   12880184
     61521        040   12880185   13196180
     61521        041   13196181   13513453
     61521        042   13513454   13830156
     61521        043   13830157   14165652
     61521        044   14165653   14482255
     61521        045   14482256   14799429
     61521        046   14799430   15117788
     61521        047   15117789   15441712
     61521        048   15441713   15763714
     61521        049   15763715   16080498
     61521        050   16080499   16397516
     61521        051   16397517   16714631
     61521        052   16714632   17031878
     61521        053   17031879   17353818
     61521        054   17353819   17672693
     61521        055   17672694   17991678
     61521        056   17991679   18315174
     61521        057   18315175   18640933
     61521        058   18640934   18978158
     61521        059   18978159   19296419
     61521        060   19296420   19626003
     61521        061   19626004   19943526
     61521        062   19943527   20260729
     61521        063   20260730   20288496
     61522        000          0     317001
     61522        001     317002     634899
     61522        002     634900     952827
     61522        003     952828    1271631
     61522        004    1271632    1589219
     61522        005    1589220    1907528
     61522        006    1907529    2243729
     61522        007    2243730    2561296
     61522        008    2561297    2879164
     61522        009    2879165    3196886
     61522        010    3196887    3514628
     61522        011    3514629    3833022
     61522        012    3833023    4151116
     61522        013    4151117    4469336
     61522        014    4469337    4804228
     61522        015    4804229    5122301
     61522        016    5122302    5440279
     61522        017    5440280    5758056
     61522        018    5758057    6075043
     61522        019    6075044    6393461
     61522        020    6393462    6711264
     61522        021    6711265    7029705
     61522        022    7029706    7347572
     61522        023    7347573    7682270
     61522        025    7998689    8316872
     61522        026    8316873    8634572
     61522        027    8634573    8951902
     61522        028    8951903    9268017
     61522        029    9268018    9586235
     61522        030    9586236    9904673
     61522        031    9904674   10222389
     61522        032   10222390   10555947
     61522        033   10555948   10873684
     61522        034   10873685   11190014
     61522        035   11190015   11508104
     61522        036   11508105   11825239
     61522        037   11825240   12142322
     61522        038   12142323   12460957
     61522        039   12460958   12780243
     61522        040   12780244   13098239
     61522        041   13098240   13417678
     61522        042   13417679   13736611
